Strain,Date,Time,Interval (s),Movie,Cell,Go,Swap+1,Tau,Tau (s),Keep,Comments
463 fliC- mNG_FimX,20201023,1 h,5,3,49,9,5,4,20,1,
463 fliC- mNG_FimX,20201023,1 h,5,3,49,15,15,0,0,1,
463 fliC- mNG_FimX,20201023,1 h,5,3,24,10,5,5,25,1,
463 fliC- mNG_FimX,20201023,1 h,5,3,13,19,8,11,55,1,
463 fliC- mNG_FimX,20201023,1 h,5,2,63,8,5,3,15,1,
463 fliC- mNG_FimX,20201023,1 h,5,1,170,4,2,2,10,1,
463 fliC- mNG_FimX,20201023,1 h,5,1,152,6,3,3,15,1,
463 fliC- mNG_FimX,20201023,1 h,5,1,77,7,5,2,10,1,
463 fliC- mNG_FimX,20201023,1 h,5,1,19,15,13,2,10,1,
463 fliC- mNG_FimX,20201023,2 h,5,3,114,5,4,1,5,1,
463 fliC- mNG_FimX,20201023,2 h,5,3,81,4,4,0,0,1,
463 fliC- mNG_FimX,20201023,2 h,5,3,74,13,10,3,15,1,
463 fliC- mNG_FimX,20201023,2 h,5,2,233,8,5,3,15,1,
463 fliC- mNG_FimX,20201023,2 h,5,2,206,6,5,1,5,1,
463 fliC- mNG_FimX,20201023,2 h,5,2,27,3,2,1,5,1,
463 fliC- mNG_FimX,20201006,2 h,2,2,83,14,2,12,24,1,
463 fliC- mNG_FimX,20201006,2 h,2,2,83,30,20,10,20,1,
463 fliC- mNG_FimX,20201006,2 h,2,1,50,43,24,19,38,1,
463 fliC- mNG_FimX,20201006,2 h,2,1,6,17,6,11,22,1,
463 fliC- mNG_FimX,20201006,2 h,2,1,6,38,31,7,14,1,
463 fliC- mNG_FimX,20201002,1 h,2,2,15,18,12,6,12,1,
463 fliC- mNG_FimX,20201002,2 h,2,3,24,40,19,21,42,1,
463 fliC- mNG_FimX,20201002,2 h,2,2,158,4,4,0,0,1,
463 fliC- mNG_FimX,20201002,2 h,2,2,130,6,6,0,0,1,
463 fliC- mNG_FimX,20201002,2 h,2,2,128,7,4,3,6,1,
463 fliC- mNG_FimX,20201002,2 h,2,2,58,15,8,7,14,1,
463 fliC- mNG_FimX,20201002,2 h,2,2,58,19,20,-1,-2,1,
463 fliC- mNG_FimX,20201002,2 h,2,2,56,25,24,1,2,1,
463 fliC- mNG_FimX,20201002,2 h,2,1,296,23,13,10,20,1,
463 fliC- mNG_FimX,20201002,2 h,2,1,261,17,9,8,16,1,
463 fliC- mNG_FimX,20201002,2 h,2,1,260,9,8,1,2,1,
463 fliC- mNG_FimX,20201002,2 h,2,1,250,4,2,2,4,1,
463 fliC- mNG_FimX,20201002,2 h,2,1,125,19,14,5,10,1,
463 fliC- mNG_FimX,20201002,2 h,2,1,108,5,3,2,4,1,
463 fliC- mNG_FimX,20201002,2 h,2,1,80,27,8,19,38,1,
463 fliC- mNG_FimX,20201002,2 h,2,1,55,8,6,2,4,1,
463 fliC- mNG_FimX,20201002,2 h,2,1,55,16,15,1,2,1,
463 fliC- mNG_FimX,20200717,1 h,2,5,11,29,14,15,30,1,
463 fliC- mNG_FimX,20200717,1 h,2,4,13,18,22,-4,-8,1,
463 fliC- mNG_FimX,20200717,1 h,2,4,7,14,8,6,12,1,
463 fliC- mNG_FimX,20200717,1 h,2,2,82,25,13,12,24,1,
463 fliC- mNG_FimX,20200717,1 h,2,1,40,16,15,1,2,1,
463 fliC- mNG_FimX,20200717,1 h,2,1,25,6,6,0,0,1,
463 fliC- mNG_FimX,20200717,1 h,2,1,25,19,16,3,6,1,
463 fliC- mNG_FimX,20200717,1 h,2,1,23,22,19,3,6,1,
463 fliC- mNG_FimX,20200717,2 h,2,5,40,20,16,4,8,1,
463 fliC- mNG_FimX,20200717,2 h,2,5,17,25,16,9,18,1,
463 fliC- mNG_FimX,20200717,2 h,2,4,45,9,10,-1,-2,1,
463 fliC- mNG_FimX,20200717,2 h,2,4,41,26,14,12,24,1,
463 fliC- mNG_FimX,20200717,2 h,2,1,12,9,9,0,0,1,
923 fliC- mNG_PilG,20201023,2 h 37,5,3,68,7,5,2,10,1,
923 fliC- mNG_PilG,20201023,2 h 37,5,2,44,14,7,7,35,1,
923 fliC- mNG_PilG,20201006,2 h 37,2,3,54,28,19,9,18,1,
923 fliC- mNG_PilG,20201006,2 h 37,2,1,107,19,7,12,24,1,
923 fliC- mNG_PilG,20201006,2 h 37,2,1,24,43,37,6,12,1,
923 fliC- mNG_PilG,20201002,2 h 37,2,4,36,19,13,6,12,1,
923 fliC- mNG_PilG,20201002,2 h 37,2,3,48,49,24,25,50,1,
923 fliC- mNG_PilG,20201002,2 h 37,2,2,54,41,28,13,26,1,
923 fliC- mNG_PilG,20200818,1 h 37,5,2,92,13,7,6,30,1,
923 fliC- mNG_PilG,20200818,1 h 37,5,2,86,16,13,3,15,1,
923 fliC- mNG_PilG,20200818,1 h 37,5,2,50,16,14,2,10,1,
