 ,Label,Cell_ID,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,Pole_RadiusDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,Pole_RadiusBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_PilG_fliC-_sol_Microchannel_BR1_0_event1_tirf_RAW_Stack.tif,1,1,656,91.09451,59758.0,43,279,38.93251,234.0,215.0,12.64911,137,101.39416,13891.0,42,198,43.34766,1,0,199.0,230.0,12.64911,137,119.21168,16332.0,38,279,59.325919999999996,4,0,1.42664,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR1_0_event2_tirf_RAW_Stack.tif,1,1,821,95.03045,78020.0,39,217,29.510070000000002,214.91435,229.3097,15.037339999999999,208,82.97596,17259.0,33,140,31.282329999999998,0,0,241.97027000000003,198.58858,15.037339999999999,208,96.26442,20023.0,37,217,41.81998,1,0,0.89097,mNG_PilG_fliC-,Solid
2,mNG_PilG_fliC-_sol_Microchannel_BR1_0_event2_tirf_RAW_Stack.tif,2,1,1026,76.90253,78902.0,39,162,21.49183,270.0,317.0,13.170829999999999,156,82.51923000000001,12873.0,41,148,26.03235,1,0,287.0,378.0,13.170829999999999,156,87.26923000000001,13614.0,42,162,32.07116,2,0,1.1564299999999998,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event10_tirf_RAW_Stack.tif,1,1,675,156.84444,105870.0,57,409,56.397569999999995,363.29245,183.36275,13.82974,156,157.16026000000002,24517.0,50,313,63.18141,4,0,349.56812,216.5797,13.82974,156,170.05128,26528.0,64,409,77.87714,1,0,1.08324,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event11_tirf_RAW_Stack.tif,1,1,602,82.95846999999999,49941.0,43,169,22.25439,328.0,296.0,8.59897,69,84.37680999999999,5822.0,57,106,14.11726,0,0,296.0,296.0,8.59897,69,114.62319,7909.0,65,169,27.43393,1,0,1.27501,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event12_tirf_RAW_Stack.tif,1,1,972,107.06379,104066.0,47,257,34.9777,232.00564,273.20949,14.851920000000002,177,98.88701,17503.0,36,180,38.62331,0,0,251.52286,224.00062000000003,14.851920000000002,177,128.09605,22673.0,53,257,50.6939,3,0,1.09779,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event13_tirf_RAW_Stack.tif,1,1,774,75.69896999999999,58591.0,37,182,22.76674,88.0,219.0,13.0192,156,72.89103,11371.0,40,97,13.870170000000002,0,0,87.0,262.0,13.0192,156,90.19230999999999,14070.0,31,182,38.4322,3,0,1.13642,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event14_tirf_RAW_Stack.tif,1,1,1038,90.24566,93675.0,39,298,36.53857,364.13559,382.15626000000003,14.01184,177,85.61582,15154.0,30,175,39.5447,1,0,330.0,333.0,14.01184,177,123.23163999999998,21812.0,47,298,60.30206,4,0,1.2595100000000001,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event15_tirf_RAW_Stack.tif,1,1,1001,109.64236000000001,109752.0,47,466,54.53734,289.0,213.0,12.467239999999999,137,130.39416,17864.0,44,263,55.71188000000001,3,0,259.07529,266.57777000000004,12.467239999999999,137,175.16058,23997.0,48,466,105.39171999999999,3,0,1.63599,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event16_tirf_RAW_Stack.tif,1,1,925,79.68973000000001,73713.0,21,215,35.60637,365.01797999999997,128.43867,14.933029999999999,177,86.06215,15233.0,12,215,56.39765,2,0,334.0,90.0,14.933029999999999,177,97.0791,17183.0,31,191,41.519909999999996,6,0,1.2661200000000001,mNG_PilG_fliC-,Solid
