 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,StdDev,Median,Slice
1,mNG_pilT_fliC-_liq_Gasket_0_event1_tirf_RAW_Stack.tif,567,255,255,255,34.778659999999995,14.04674,1,639,290.53991,185655.0,136,443,71.94142,324.86127,241.93431,112,250.50893,28057.0,137,357,56.50895,0,0,367.08045,235.67014,112,259.15179,29025.0,132,419,74.95467,0,0,0.8225299999999999,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event1_tirf_RAW_Stack.tif,382,255,255,255,13.12565,26.92932,1,439,164.12301000000005,72050.0,83,266,37.78119,158.11625,284.00135,80,149.675,11974.0,45,266,64.5996,0,0,161.92796,251.88372,80,157.2625,12581.0,93,216,36.01397,0,0,0.90152,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,641,255,255,255,29.40952,30.13495,1,730,205.47123,149994.0,103,499,55.3492,305.1988,126.70092,137,169.33577,23199.0,80,242,47.61399,0,0,267.52539,157.9665,137,238.56934,32684.0,116,499,97.4591,3,0,0.98822,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,743,255,255,255,17.20929,40.8109,1,837,251.69415,210668.0,139,403,56.96005,364.18886,231.24844,156,234.85897000000003,36638.0,93,378,81.98154,2,0,347.81114,287.75156,156,237.36538,37029.0,115,403,72.77593,0,0,0.9048,mNG_pilT_fliC-,Liquid,,,,
3,mNG_pilT_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,582,255,255,255,16.24399,33.99828,1,657,172.32725,113219.0,87,364,42.31399,390.95117,462.29286,156,139.23077,21720.0,59,188,35.59646,0,0,401.56098,419.83535,156,183.01923,28551.0,66,364,70.93890999999998,1,0,0.88308,mNG_pilT_fliC-,Liquid,,,,
4,mNG_pilT_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,501,255,255,255,22.46806,31.49401,1,571,203.68827,116306.0,102,280,48.40673,153.48508,407.0771,137,172.21898000000004,23594.0,70,249,46.6575,0,0,132.68469,436.04473,137,182.67883,25027.0,89,280,57.93847,0,0,0.77864,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,455,255,255,255,13.13736,30.73297,1,514,197.51751,101524.0,98,287,42.87723,120.95735,193.8649,112,188.6875,21133.0,75,280,52.558,2,0,113.6012,226.26238,112,193.22321,21641.0,76,287,57.22434000000001,0,0,0.94259,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,435,255,255,255,9.66092,32.8977,1,491,236.49287,116118.0,114,443,56.05571,140.84174,296.93606,137,179.0292,24527.0,63,257,57.01405,2,0,137.24665,329.95703,137,250.9708,34383.0,94,443,89.93069,0,0,0.81553,mNG_pilT_fliC-,Liquid,,,,
3,mNG_pilT_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,843,255,255,255,35.82859000000001,29.453740000000003,1,953,245.65687000000003,234111.0,131,382,49.1368,363.52941,187.88235,156,222.98077,34785.0,117,329,58.99901,2,0,312.47059,224.11765,156,242.96154,37902.0,127,382,70.94395,0,0,0.92511,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event12_tirf_RAW_Stack.tif,497,255,255,255,19.40342,28.240440000000003,1,564,231.94326,130816.0,147,415,46.64876,363.40514,282.29131,137,199.36496,27313.0,113,269,46.60786,0,0,347.22628,251.37713,137,258.27007000000003,35383.0,129,415,71.25653,0,0,0.97412,mNG_pilT_fliC-,Liquid,,,,
