 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,StdDev,Median,Slice
1,mNG_pilU_fliC-_liq_Gasket_0_event1_tirf_RAW_Stack.tif,569,255,255,255,37.41213,15.48243,1,640,275.08281,176053.0,128,393,62.23569000000001,192.1437,244.72502000000003,69,224.7971,15511.0,109,285,54.34871,0,0,235.81365,232.12709,69,274.15942,18917.0,151,378,66.12102,1,0,0.8842899999999999,mNG_pilU_fliC-,Liquid,,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,365,255,255,255,11.01507,27.71918,1,415,227.02169,94214.0,107,328,53.54272,145.07391,240.15964,97,193.28866,18749.0,66,284,65.18035,0,0,140.70201,267.80513,97,200.48454,19447.0,100,264,48.09152,0,0,0.77675,mNG_pilU_fliC-,Liquid,,,,
2,mNG_pilU_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,835,255,255,255,28.00898,38.41257,1,944,231.46292000000003,218501.0,115,323,54.65403000000001,180.385,455.11875,156,184.32051,28754.0,70,285,61.7092,1,0,143.31402,404.84313,156,214.21795,33418.0,89,317,68.92888,0,0,0.8056,mNG_pilU_fliC-,Liquid,,,,
3,mNG_pilU_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,656,255,255,255,9.77591,43.26067000000001,1,742,155.49461000000005,115377.0,72,285,37.15452,448.34073,99.78406,137,127.81752,17511.0,36,209,55.05014,1,0,449.20289,44.19977,137,147.0292,20143.0,48,285,59.66252,0,0,0.8274799999999999,mNG_pilU_fliC-,Liquid,,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,737,255,255,255,39.22049000000001,17.007460000000002,1,828,388.03382,321292.0,180,774,97.15411,244.11782,259.4077,156,354.33974,55277.0,155,551,107.38069,0,0,293.67741,241.04268,156,428.41667,66833.0,190,774,147.81073,3,0,1.0139,mNG_pilU_fliC-,Liquid,,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event12_tirf_RAW_Stack.tif,550,255,255,255,29.009090000000004,25.62,1,628,223.43631,140318.0,116,346,49.47189,278.5899,282.86909,137,184.9854,25343.0,100,238,40.79774000000001,0,0,309.52307,254.25308,137,226.91241,31087.0,100,346,73.77026,0,0,0.8690899999999999,mNG_pilU_fliC-,Liquid,,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,441,255,255,255,28.56803,15.348070000000002,1,498,252.53213,125761.0,156,378,48.74047,332.08247,216.47835,137,212.81022,29155.0,131,297,46.29136,0,0,304.7691,208.01248,137,258.62774,35432.0,148,378,60.44735,0,0,0.86313,mNG_pilU_fliC-,Liquid,,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,760,255,255,255,12.22632,44.04737,1,853,339.51817,289609.0,143,726,92.00114,190.91527,423.81473,137,304.85401,41765.0,66,726,178.49573999999996,1,0,196.72135,364.05226,137,342.92701,46981.0,98,649,138.12125,1,0,0.93363,mNG_pilU_fliC-,Liquid,,,,
2,mNG_pilU_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,884,255,255,255,39.45928,29.51244,1,994,292.78974,291033.0,119,611,82.20515999999998,312.49761,67.07887,156,298.1346200000001,46509.0,119,558,106.79423,0,0,366.02426,101.66062,156,307.6346200000001,47991.0,94,611,138.15069,3,0,1.05106,mNG_pilU_fliC-,Liquid,,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event15_tirf_RAW_Stack.tif,669,255,255,255,21.60164,37.96487,1,755,252.41854,190576.0,133,344,54.02023000000001,316.34292,372.15442,137,215.68613,29549.0,96,335,66.40038,0,0,295.7488,327.80302,137,246.07299,33712.0,121,338,64.01626999999999,0,0,0.8722700000000001,mNG_pilU_fliC-,Liquid,,,,
