 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,StdDev,Median,Slice,Cell_ID
1,pilB_mNG_fliC-_liq_Gasket_0_event1_tirf_RAW_Stack.tif,524,255,255,255,29.39122,17.76908,1,596,148.44128,88471.0,75,223,28.47529,182.03481,255.07278,112,138.17857,15476.0,50,223,49.72324,0,0,217.57001,238.1055,112,149.49107,16743.0,92,197,31.504040000000003,0,0,0.95119,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,623,255,255,255,29.6878,26.9366,1,708,186.59322,132108.0,117,263,31.38511,286.72515,260.93417,137,168.41606000000004,23073.0,81,263,45.10097,2,0,319.59217,230.40783,137,176.74453,24214.0,115,234,33.740359999999995,0,0,0.88303,pilB_mNG_fliC-,Liquid,,,,
2,pilB_mNG_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,646,255,255,255,29.3483,29.6192,1,738,124.84011,92132.0,61,187,28.28507,186.06647,350.01525,137,111.38686,15260.0,43,170,32.75,0,0,152.45604,388.44269,137,121.14599,16597.0,57,174,33.33465,0,0,0.89502,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,519,255,255,255,18.57129,28.12813,1,594,111.10774,65998.0,65,242,28.89824,59.41489,337.42635,97,91.95876,8920.0,45,129,22.66142,0,0,41.02064,299.84954,97,133.85567,12984.0,60,242,53.30865,1,0,1.02424,pilB_mNG_fliC-,Liquid,,,,
2,pilB_mNG_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,508,255,255,255,28.71654,11.49606,1,571,104.93695,59919.0,59,148,18.40813,144.4383,275.44156,156,96.79487,15100.0,38,139,26.33328,1,0,110.5324,271.83392000000003,156,98.26923,15330.0,47,148,25.62618,0,0,0.85662,pilB_mNG_fliC-,Liquid,,,,
3,pilB_mNG_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,795,255,255,255,33.67484,35.74906,1,898,162.96771,146345.0,101,229,29.97483,244.34856,149.74306,177,135.59887,24001.0,68,185,30.75938,0,0,283.57036,191.38912,177,144.0791,25502.0,74,200,38.76055,0,0,0.7855300000000001,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event12_tirf_RAW_Stack.tif,440,255,255,255,27.27955,19.15455,1,502,139.11952,69838.0,77,194,28.11648,449.31211,231.17244,97,121.15464,11752.0,68,167,27.9204,0,0,418.73638,244.93542,97,136.06186,13198.0,81,194,31.90573,0,0,0.88245,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,578,255,255,255,31.38235,15.22664,1,649,131.74576000000002,85503.0,77,248,26.18992,460.69073,228.27235,208,115.18269,23958.0,47,163,34.91045,0,0,421.35396,219.52629,208,125.98077,26204.0,63,248,42.47795,1,0,0.79498,pilB_mNG_fliC-,Liquid,,,,
2,pilB_mNG_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,632,255,255,255,34.54589,27.53006,1,722,131.5374,94970.0,61,277,33.08644,401.3896,388.99422,137,112.27737,15382.0,49,162,27.53867,0,0,443.93079000000006,415.49055,137,140.52555,19252.0,53,277,59.29538,2,0,0.93854,pilB_mNG_fliC-,Liquid,,,,
3,pilB_mNG_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,573,255,255,255,34.749559999999995,11.36911,1,646,97.1904,62785.0,55,181,20.14227,71.64967,250.60532,112,88.25,9884.0,47,116,17.747729999999994,0,0,115.41299,256.96537,112,103.16964,11555.0,52,181,35.50584,0,0,0.97687,pilB_mNG_fliC-,Liquid,,,,
4,pilB_mNG_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,652,255,255,255,39.15337,20.01994,1,735,129.85306,95442.0,67,187,26.12932,155.07296000000005,208.65605,156,113.63462,17727.0,63,146,24.28489,0,0,201.65535,194.45615,156,124.94231,19491.0,65,180,32.8844,0,0,0.86664,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,636,255,255,255,18.94654,36.33333,1,718,149.17549,107108.0,82,236,28.53596,224.00063,348.99811,137,127.83942,17514.0,63,162,26.72277,0,0,238.28712,302.09025,137,152.79562,20933.0,63,236,43.94367,0,0,0.90737,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event15_tirf_RAW_Stack.tif,624,255,255,255,34.79006,18.91506,1,702,118.54843,83221.0,65,155,19.52159,232.29268,299.78591,156,108.9359,16994.0,66,139,21.28446,0,0,272.81453,284.49798,156,118.66667,18512.0,68,155,23.44997,1,0,0.93016,pilB_mNG_fliC-,Liquid,,,,
2,pilB_mNG_fliC-_liq_Gasket_0_event15_tirf_RAW_Stack.tif,656,255,255,255,40.16311,14.42683,1,736,154.84511,113966.0,96,202,22.43553,331.79681,181.76347,137,139.90511,19167.0,84,202,31.960890000000006,1,0,282.16212,188.95557,137,142.74453,19556.0,79,176,27.01852,0,0,0.86775,pilB_mNG_fliC-,Liquid,,,,
3,pilB_mNG_fliC-_liq_Gasket_0_event15_tirf_RAW_Stack.tif,485,255,255,255,27.35361,18.25258,1,549,105.13115,57717.0,51,145,21.87316,257.22587000000004,68.39415,137,92.85401,12721.0,25,145,31.47631,1,0,227.67142,81.37178,137,96.91241,13277.0,55,135,22.92843,0,0,0.82263,pilB_mNG_fliC-,Liquid,,,,
4,pilB_mNG_fliC-_liq_Gasket_0_event15_tirf_RAW_Stack.tif,418,255,255,255,18.43062,29.0,1,483,107.55072,51947.0,61,157,22.85937,105.70632,324.38149,112,90.51786,10138.0,53,129,17.41542,0,0,115.36624,355.59604,112,106.67857,11948.0,45,157,29.97663,1,0,0.85519,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event16_tirf_RAW_Stack.tif,788,255,255,255,35.38959000000001,27.88198,1,891,175.81593999999996,156652.0,104,342,38.59335,406.39872,255.9368,137,177.81022,24360.0,89,342,66.22561,2,0,357.0636,223.88812,137,195.11679,26731.0,112,307,51.37979,0,0,1.08987,pilB_mNG_fliC-,Liquid,,,,
2,pilB_mNG_fliC-_liq_Gasket_0_event16_tirf_RAW_Stack.tif,332,255,255,255,10.83133,26.78916,1,379,145.4723,55134.0,83,245,29.691999999999997,359.78532,145.71191000000005,80,132.925,10634.0,83,172,26.11696,0,0,359.5925,171.25998,80,157.45,12596.0,79,245,48.83423,0,0,0.99662,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event17_tirf_RAW_Stack.tif,605,255,255,255,14.27851,39.10165,1,678,172.76549,117135.0,94,353,42.24791,373.52454,152.00723,137,138.64234,18994.0,53,189,33.808440000000004,0,0,362.57979,195.01936,137,189.83212,26007.0,97,353,73.59014,1,0,0.91984,pilB_mNG_fliC-,Liquid,,,,
2,pilB_mNG_fliC-_liq_Gasket_0_event17_tirf_RAW_Stack.tif,489,255,255,255,17.19325,29.89673,1,560,100.56607,56317.0,51,156,21.51463,159.8643,125.64948,112,85.80357,9610.0,43,112,17.09636,0,0,142.70508,160.65743,112,101.16071,11330.0,48,156,30.5129,1,0,0.88786,pilB_mNG_fliC-,Liquid,,,,
3,pilB_mNG_fliC-_liq_Gasket_0_event17_tirf_RAW_Stack.tif,475,255,255,255,8.50211,74.08525999999998,1,537,197.38734,105997.0,101,584,70.95489,247.9955,208.22185,137,160.69343,22015.0,94,206,27.13652,0,0,253.82101,241.8103,137,246.52555,33774.0,93,584,120.30122,1,0,1.06655,pilB_mNG_fliC-,Liquid,,,,
4,pilB_mNG_fliC-_liq_Gasket_0_event17_tirf_RAW_Stack.tif,404,255,255,255,20.60644,23.70545,1,465,134.61935,62598.0,73,269,31.722040000000003,252.33357,382.4930700000001,112,123.46429,13828.0,71,158,24.93159,0,0,265.89805,406.8152,112,130.125,14574.0,46,269,57.88092,0,0,0.8936,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event18_tirf_RAW_Stack.tif,610,255,255,255,21.53115,36.87049,1,692,131.88006,91261.0,66,252,29.16456,316.39168,98.32097,112,116.75893,13077.0,68,143,20.56773,0,0,300.5592,140.28293,112,126.58929,14178.0,46,252,57.65313,1,0,0.88966,pilB_mNG_fliC-,Liquid,,,,
2,pilB_mNG_fliC-_liq_Gasket_0_event18_tirf_RAW_Stack.tif,475,255,255,255,29.897890000000004,18.04947,1,541,124.48059,67344.0,69,190,22.85344,424.65672,333.36098,112,122.15179,13681.0,63,169,29.20577,1,0,391.54188,346.15271,112,123.53571,13836.0,68,190,31.97576,0,0,0.97777,pilB_mNG_fliC-,Liquid,,,,
3,pilB_mNG_fliC-_liq_Gasket_0_event18_tirf_RAW_Stack.tif,615,255,255,255,35.44472000000001,22.33577,1,698,106.77507,74529.0,53,168,23.87382,72.20875,423.73176,137,95.29927,13056.0,34,168,33.263729999999995,1,0,112.60975,399.95935,137,98.75912,13530.0,45,141,28.61805,1,0,0.85811,pilB_mNG_fliC-,Liquid,,,,
1,pilB_mNG_fliC-_liq_Gasket_0_event19_tirf_RAW_Stack.tif,642,255,255,255,15.36449,40.14642,1,720,167.56528,120647.0,93,216,29.47578,245.20076,223.35024,156,144.73077,22578.0,76,203,36.6626,1,0,234.31743,267.5326,156,166.64103,25996.0,77,215,39.04174,0,0,0.88133,pilB_mNG_fliC-,Liquid,,,,
2,pilB_mNG_fliC-_liq_Gasket_0_event19_tirf_RAW_Stack.tif,583,255,255,255,32.37822,12.90652,1,655,152.12823999999995,99644.0,109,185,16.767210000000002,375.87477,289.67762,137,149.16058,20435.0,95,185,24.4183,0,0,333.0809,285.80314,137,149.49635,20481.0,97,175,21.89787,0,0,0.96877,pilB_mNG_fliC-,Liquid,,,,
