Strain,Growth,Labels,Bio_Rep,PaQa_ratio,N
cpdA-fliC-,Liquid,0.5,1,8.891907073944866,173
cpdA-fliC-,Liquid,0.5,2,8.427008144695757,459
cpdA-fliC-,Liquid,0.5,3,8.93406910571656,687
cyaB-fliC-,Liquid,2.5,1,0.29359093250901624,253
cyaB-fliC-,Liquid,2.5,2,0.2806608993792653,500
cyaB-fliC-,Liquid,2.5,3,0.28035372076977905,544
fliC-lolo,Liquid,4.5,1,0.7142061796868098,282
fliC-lolo,Liquid,4.5,2,0.34320238198479514,391
fliC-lolo,Liquid,4.5,3,0.8204699867704103,529
fliC-lolo,Solid,5.5,1,2.010141934364418,562
fliC-lolo,Solid,5.5,2,2.466459363570364,503
fliC-lolo,Solid,5.5,3,2.379058252427181,357
pilG-cpdA-fliC-,Liquid,6.5,1,7.346437349339757,88
pilG-cpdA-fliC-,Liquid,6.5,2,2.475462957610934,556
pilG-cpdA-fliC-,Liquid,6.5,3,3.0657252396166093,471
pilG-cpdA-fliC-,Liquid,6.5,4,2.8475611166001618,518
pilG-cpdA-fliC-,Liquid,6.5,5,2.642981095447576,232
pilG-cyaB-fliC-,Liquid,8.5,1,0.35749372981578115,235
pilG-cyaB-fliC-,Liquid,8.5,2,0.32415173355236543,921
pilG-cyaB-fliC-,Liquid,8.5,3,0.3227046416095479,600
pilG-fliC-,Liquid,10.5,1,0.2929653189960345,155
pilG-fliC-,Liquid,10.5,2,0.3166567560150036,457
pilG-fliC-,Liquid,10.5,3,0.2634529480268636,510
pilH-cpdA-fliC-,Liquid,12.5,1,10.121698829949093,109
pilH-cpdA-fliC-,Liquid,12.5,2,11.937043716005933,605
pilH-cpdA-fliC-,Liquid,12.5,3,8.971801608595023,478
pilH-cyaB-fliC-,Liquid,14.5,1,0.3531141076316693,106
pilH-cyaB-fliC-,Liquid,14.5,2,0.3414782369398705,927
pilH-cyaB-fliC-,Liquid,14.5,3,0.3468357402841378,833
pilH-fliC-,Liquid,16.5,1,10.125445359850751,187
pilH-fliC-,Liquid,16.5,2,8.725713214836597,677
pilH-fliC-,Liquid,16.5,3,8.959883635273485,568
pilTU-fliC-,Liquid,18.5,1,0.5031721355862756,572
pilTU-fliC-,Liquid,18.5,2,0.5134571489460158,586
pilTU-fliC-,Liquid,18.5,3,0.6578418129104955,764
pilTU-fliC-,Liquid,18.5,4,0.5416076575609036,376
